id,AREA_SQKM,Long,Lat,Age_0_4_yr_M,Age_0_4_yr_F,Age_5_14_yr_M,Age_5_14_yr_F,Age_15_19_yr_M,Age_15_19_yr_F,Age_20_24_yr_M,Age_20_24_yr_F,Age_25_34_yr_M,Age_25_34_yr_F,Age_35_44_yr_M,Age_35_44_yr_F,Age_45_54_yr_M,Age_45_54_yr_F,Age_55_64_yr_M,Age_55_64_yr_F,Age_65_74_yr_M,Age_65_74_yr_F,Age_75_84_yr_M,Age_75_84_yr_F,Age_85ov_M,Age_85ov_F,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Australian_citizen_M,Australian_citizen_F,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Median_mortgage_repay_monthly,Median_Tot_prsnl_inc_weekly,Median_Tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_Tot_hhd_inc_weekly,Average_household_size,Total_Total,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,SEO_Males,SEO_Females,Buddhism_M,Buddhism_F,Christianity_Tot_M,Christianity_Tot_F,Hinduism_M,Hinduism_F,Islam_M,Islam_F,Judaism_M,Judaism_F,Other_Religions_Tot_M,Other_Religions_Tot_F,No_Religion_M,No_Religion_F,M_Tot_Volunteer,M_Tot_N_a_volunteer,F_Tot_Volunteer,F_Tot_N_a_volunteer,Total_PDs_Dwellings,Total_PDs_Persons,O_OR_Total,O_MTG_Total,R_Tot_Total,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Tot_LF_M,lfs_Tot_LF_F,M_PGrad_Deg_Total,M_BachDeg_Total,F_PGrad_Deg_Total,F_BachDeg_Total,STATE,Infant_Mort,Accidental_Mort,Old_Age_M,Old_Age_F,Density,Stay_at_home,Aboriginal,Foreign,Unemp,Marriage_Prob,Male_Ratio,Dist_Major_City,Imp_State,AUS_MORT_DTH
15,7.807589624,151.0303227,-33.75001895,295,263,824,764,523,540,541,524,533,535,633,751,985,1183,1076,1093,522,406,133,164,47,111,5930,6152,183,182,8,10,0,0,0,0,8,10,3612,3736,2391,2485,3950,4053,2060,2172,5525,5686,3686,3647,5901,6097,84,128,2746,756,2648,1,2586,3.2,12208,3169,51,144,75,1555,3244,87,230,286,1463,9,9,5993,6189,112,134,3948,4053,259,313,3905,4242,271,286,140,129,7,4,66,69,1176,1001,975,3862,1361,3769,3975,11997,1708,1620,402,167,135,3707,3302,530,1369,347,1340,NSW,0.045707733,0.087237877,0.057498567,0.055778524,1386.077295,0.518879515,0.001474322,0.746007044,0.024735851,0.071504628,1.051798314,20.90549099,NotImp,-0.049413219
16,4.230742686,150.9518941,-33.87112138,678,642,1120,1094,572,569,573,671,1236,1351,1235,1209,1151,1108,790,877,493,549,309,418,81,123,8032,8417,206,195,34,52,9,5,3,0,46,57,2761,2724,5137,5540,1572,1491,6337,6800,6383,6608,3109,3041,8005,8383,183,223,1630,338,889,1.4,813,3,16793,3200,271,464,123,2385,3220,336,624,702,1996,46,59,7879,8234,313,319,1573,1490,1061,1128,4946,5401,94,100,840,805,0,0,175,188,648,530,354,5537,489,5827,5802,16390,1197,1296,2770,415,296,3340,2364,113,538,89,568,NSW,0.07860418,0.074078485,0.052578302,0.064904132,3210.442763,0.513457187,0.006133143,1.418006431,0.042336549,0.150053591,1.037400831,23.55555371,NotImp,0.148174809
17,17.74700995,145.2844219,-37.79863581,986,966,1610,1576,830,832,925,911,2151,2241,2034,2118,1719,1927,1592,1936,1115,1405,756,1099,276,592,13358,14988,638,614,58,66,7,0,0,3,65,69,10584,11826,2841,3197,12047,13492,1468,1635,12339,13850,5068,6151,13210,14692,484,612,1700,585,1443,1.1,1142,2.4,29000,5623,368,873,331,4200,5620,480,1605,1493,3867,65,67,13419,15041,509,496,12047,13493,209,267,7542,9529,106,94,77,67,21,14,131,149,4539,4215,1768,8895,2524,9729,12562,27898,4028,4484,2840,367,323,7884,7292,272,1224,263,1734,VIC,0.067310345,0.063310345,0.07403193,0.106754939,1546.913352,0.538809007,0.00462053,0.315196028,0.023792283,0.177580083,0.952426325,28.26587511,NotImp,1.520263501
18,15.1380172,115.799531,-32.2557174,297,329,510,546,246,252,237,251,541,574,524,534,471,383,318,334,260,260,150,202,46,105,3406,3657,194,112,101,128,3,4,0,0,104,132,2154,2317,1016,1048,2929,3036,273,356,2717,2882,836,930,3152,3365,366,379,1600,488,1189,1.1,961,2.5,7260,1106,122,283,81,1201,1102,130,339,279,1046,103,132,3101,3265,396,373,2930,3034,35,51,1743,1984,8,8,21,22,3,0,22,23,1135,1085,241,2139,340,2162,2896,6517,550,1129,869,128,134,1699,1322,21,115,25,184,WA,0.086225895,0.067217631,0.062801267,0.078088418,449.869393,0.530367718,0.03250241,0.370885553,0.036083184,0.169949043,1.022727273,34.02786077,NotImp,-0.101775891
19,63.26349319,147.1040769,-42.77372273,229,224,444,368,236,218,175,191,334,334,359,405,472,478,409,401,289,307,156,182,38,84,3006,3053,135,141,105,127,19,14,5,5,129,146,2809,2846,199,213,2991,3046,40,39,2942,2987,497,608,2994,2989,118,164,1213,416,1021,1.1,804,2.4,6268,1104,85,225,88,963,1109,91,248,315,838,129,147,2908,2933,103,112,2992,3045,9,7,2048,2194,0,0,5,0,0,0,10,8,782,700,305,1962,419,1996,2703,5982,822,875,666,160,94,1426,1238,17,67,12,104,TAS,0.072271857,0.058391832,0.077045781,0.091402138,97.53593663,0.508534056,0.043866645,0.078321901,0.040516829,0.167809858,1.046302465,580.5466664,NotImp,-0.141835586
20,21.16687981,115.7514981,-32.37341824,666,587,1300,1271,655,629,486,481,823,917,1141,1235,928,984,475,473,306,282,153,199,44,70,6519,6888,456,241,102,108,6,4,0,3,108,115,4429,4560,1985,2129,6097,6274,331,400,5468,5661,1793,2098,6207,6613,489,456,1950,653,1750,1,1668,3.1,13762,2620,116,319,87,1872,2760,184,427,248,1647,109,117,6294,6530,574,480,6097,6274,35,62,3774,4259,11,20,37,32,0,3,14,53,2154,1929,494,4001,785,4010,4596,12821,693,2216,1175,210,218,3717,3068,50,216,36,372,WA,0.091047813,0.07026595,0.036547264,0.040034876,620.8361356,0.533604592,0.016202863,0.352030807,0.031097871,0.100341495,1.049488568,47.72697063,NotImp,-0.12292466
21,94.81414925,149.8909823,-37.03134254,83,92,209,179,108,108,63,69,131,141,152,187,225,238,258,257,182,198,112,127,32,55,1441,1545,114,106,114,109,5,3,0,4,119,116,1324,1406,159,176,1471,1550,42,65,1445,1539,314,399,1425,1498,134,144,1430,411,973,1.1,798,2.3,3201,622,49,117,51,426,610,48,136,196,392,119,115,1394,1489,42,48,1471,1550,4,8,1027,1140,0,4,0,0,3,0,3,4,367,360,247,915,319,950,1539,2922,501,295,455,73,40,723,644,15,57,9,87,NSW,0.054670415,0.041237113,0.101811368,0.118675828,33.40842689,0.518113679,0.07339163,0.138038726,0.035290443,0.186445971,0.982312066,206.2041699,NotImp,-0.232618766
22,3.354922386,144.900409,-37.72690741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VIC,0,0,0,0,0,0,0,0,0,0,0,11.16035206,NotImp,-0.460900538
23,239.4537658,147.1086744,-43.16876742,119,103,278,266,111,99,77,54,133,166,252,278,281,334,351,344,243,191,94,70,19,24,1836,1793,123,136,213,223,16,18,3,3,232,244,1534,1514,340,330,1827,1803,54,66,1779,1747,537,658,1833,1806,57,59,1083,398,927,1.1,773,2.4,3758,773,56,172,38,520,772,53,187,105,447,232,244,1660,1614,65,70,1827,1804,25,40,1011,996,0,3,4,3,0,0,12,21,693,668,331,1130,388,1083,2054,3641,702,524,270,61,57,836,757,37,150,47,221,TAS,0.059073976,0.034858968,0.094706039,0.075818037,15.62878413,0.509710029,0.126629423,0.210162277,0.031391327,0.16254323,1.043710021,622.3750846,NotImp,-0.306124881
24,66.69655311,153.3506142,-28.12106648,639,644,1494,1366,688,634,408,431,909,1058,1338,1502,1236,1333,933,1017,591,588,244,232,38,63,8176,8585,345,282,83,71,3,3,5,6,91,80,5989,6159,2167,2376,7620,7896,592,683,7220,7534,3029,3467,8121,8541,261,261,2150,585,1448,1.1,1371,2.9,17188,3553,186,497,81,2067,3607,271,759,325,1896,93,79,8082,8479,343,308,7620,7895,97,127,5578,6139,29,42,30,18,30,30,28,45,2051,1816,1035,4967,1436,5028,6033,16662,1364,2792,1441,309,271,4661,4324,182,633,149,837,QLD,0.074645101,0.048813125,0.050788295,0.051370062,253.8977128,0.519518297,0.009948223,0.338472279,0.03374251,0.123276514,1.00948092,13.69330732,Imp,-0.062493596
25,7.976447795,153.1775344,-27.64980086,334,368,807,758,488,450,442,401,678,700,851,854,843,960,748,763,307,259,82,114,29,39,5395,5523,214,144,53,62,5,7,0,0,58,69,3838,3892,1611,1671,4986,5015,487,558,4777,4883,2376,2550,5429,5588,82,49,1950,707,1880,1,1770,3,11147,2444,97,292,53,1580,2456,133,410,190,1352,60,70,5412,5508,136,88,4986,5015,49,65,3765,4134,23,35,50,47,7,4,8,17,1323,1084,719,3531,927,3478,3972,11018,969,1976,737,175,139,3555,3216,122,415,102,629,QLD,0.062976586,0.075625729,0.037495515,0.036957302,1241.80525,0.514621457,0.011392178,0.388141371,0.028166487,0.105400072,1.065134827,25.01899547,Imp,-0.228257001
26,7.684246982,138.5356806,-35.12006218,448,371,792,802,441,418,493,448,932,975,911,870,828,930,828,966,527,581,272,348,100,169,6282,6621,291,258,103,105,5,4,0,5,108,114,4966,5129,1343,1479,5918,6169,422,467,5851,6104,1838,2100,6253,6526,222,271,1343,514,1189,1,955,2.4,13273,2451,179,484,143,2077,2477,231,762,494,1738,108,113,6240,6532,226,232,5917,6170,40,45,3319,4018,27,23,44,48,4,3,56,60,2372,2069,754,4271,996,4383,5708,12780,1444,2355,1426,256,194,3560,3211,39,261,30,417,SA,0.061704212,0.070895804,0.067726382,0.082718096,1528.399645,0.520717192,0.016724424,0.279569082,0.033900859,0.17274371,1.021925051,22.08030094,Imp,0.221873672
27,14.67736474,150.843251,-33.78003156,704,649,1510,1438,814,818,712,729,1310,1365,1309,1394,1414,1425,1017,1053,507,490,207,376,91,296,9352,9837,241,196,194,192,5,3,3,3,202,198,5109,5246,4007,4296,5193,5309,3953,4325,8086,8497,3494,3815,9070,9351,528,676,2080,552,1544,1.1,1490,3.3,19625,3899,225,383,146,2723,3904,300,571,742,2434,201,197,8985,9456,409,378,5193,5308,131,183,6910,7550,458,450,587,560,0,0,110,100,779,620,714,6028,909,6391,5844,18418,1448,2679,1305,328,293,5266,4389,174,814,133,1165,NSW,0.068942675,0.073426752,0.041017018,0.059207174,1251.804773,0.513502497,0.020381127,0.84484867,0.0316417,0.120605319,1.03116604,34.97953934,NotImp,0.334652848
28,165.4353126,150.1072094,-35.94714994,192,174,458,420,243,226,120,111,228,244,376,426,569,597,660,690,557,556,305,299,69,98,3469,3576,306,265,201,196,3,7,3,3,207,206,3110,3182,502,504,3564,3623,93,116,3489,3534,1009,1140,3495,3567,145,166,1309,420,958,1.1,797,2.3,7371,1684,110,324,110,895,1674,120,362,357,734,206,206,3455,3523,116,112,3565,3622,25,37,2412,2631,6,4,9,3,0,0,14,19,1024,870,652,2263,841,2191,4343,7063,1494,806,745,137,96,1565,1441,55,225,61,337,NSW,0.04965405,0.031339031,0.12628866,0.129272925,44.28747652,0.526587086,0.056022789,0.164812805,0.031606077,0.187601736,1.012329134,115.3007806,NotImp,0.052761701
29,1.700603169,149.063245,-35.25118574,90,80,140,118,72,74,116,127,206,213,193,197,159,167,113,122,116,119,47,54,8,24,1198,1245,62,49,16,27,0,0,0,0,16,27,856,886,353,362,926,969,287,278,1069,1121,727,737,1192,1237,44,43,2058,786,1983,1.1,1539,2.4,2515,471,33,82,23,424,463,27,101,91,412,16,26,1190,1215,54,55,925,970,38,41,571,662,12,15,32,19,4,8,12,12,456,416,220,754,263,772,1083,2429,292,303,398,34,23,724,665,119,216,93,263,ACT,0.067594433,0.096620278,0.067965024,0.078298887,931.2734387,0.519475358,0.01709062,0.508744038,0.022655008,0.141891892,1.077844311,6.858317945,Imp,-0.371191184
30,3.13856858,115.7681674,-32.03794023,178,208,481,431,209,209,189,212,315,339,479,526,562,621,499,465,231,271,152,196,56,101,3135,3413,218,164,18,17,0,0,0,0,18,17,2325,2510,851,902,2900,3078,275,354,2901,3111,1698,1889,3046,3307,259,243,2200,858,2530,1.1,1835,2.5,6854,1363,79,199,67,982,1374,96,295,259,918,20,14,3153,3402,179,162,2900,3077,35,59,1831,2212,10,7,14,7,4,3,31,32,1077,976,518,1960,713,2042,2940,6352,976,935,630,71,60,1892,1803,212,641,199,714,WA,0.056317479,0.058505982,0.064040846,0.082859227,1656.128168,0.52968636,0.005105762,0.347483589,0.019110139,0.145149526,0.994952494,12.57596963,NotImp,-0.078071599
31,7.906909149,153.4942077,-28.1495979,300,291,519,442,294,272,376,361,737,811,696,681,728,826,724,720,445,464,241,300,81,111,4834,5028,305,253,117,86,20,8,9,5,146,99,3876,3915,854,944,4550,4665,238,274,4331,4465,1974,2130,4661,4852,780,840,1950,570,1270,1.1,1030,2.2,11133,1743,174,489,108,1805,1744,185,682,376,1561,146,99,4641,4813,354,367,4549,4665,81,88,3114,3441,14,12,20,4,7,8,12,23,1277,1125,672,3214,803,3319,5145,9510,1215,1218,1743,248,191,2804,2637,86,397,105,572,QLD,0.053085422,0.066199587,0.068888091,0.078588108,1249.928546,0.478983294,0.02200467,0.207472606,0.039428777,0.180887372,1.045131124,16.17744207,Imp,0.074286603
