id,AREA_SQKM,Long,Lat,Age_0_4_yr_M,Age_0_4_yr_F,Age_5_14_yr_M,Age_5_14_yr_F,Age_15_19_yr_M,Age_15_19_yr_F,Age_20_24_yr_M,Age_20_24_yr_F,Age_25_34_yr_M,Age_25_34_yr_F,Age_35_44_yr_M,Age_35_44_yr_F,Age_45_54_yr_M,Age_45_54_yr_F,Age_55_64_yr_M,Age_55_64_yr_F,Age_65_74_yr_M,Age_65_74_yr_F,Age_75_84_yr_M,Age_75_84_yr_F,Age_85ov_M,Age_85ov_F,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Australian_citizen_M,Australian_citizen_F,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Median_mortgage_repay_monthly,Median_Tot_prsnl_inc_weekly,Median_Tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_Tot_hhd_inc_weekly,Average_household_size,Total_Total,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,SEO_Males,SEO_Females,Buddhism_M,Buddhism_F,Christianity_Tot_M,Christianity_Tot_F,Hinduism_M,Hinduism_F,Islam_M,Islam_F,Judaism_M,Judaism_F,Other_Religions_Tot_M,Other_Religions_Tot_F,No_Religion_M,No_Religion_F,M_Tot_Volunteer,M_Tot_N_a_volunteer,F_Tot_Volunteer,F_Tot_N_a_volunteer,Total_PDs_Dwellings,Total_PDs_Persons,O_OR_Total,O_MTG_Total,R_Tot_Total,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Tot_LF_M,lfs_Tot_LF_F,M_PGrad_Deg_Total,M_BachDeg_Total,F_PGrad_Deg_Total,F_BachDeg_Total,DEATHS,Infant_Mort,Accidental_Mort,Old_Age_M,Old_Age_F,Density,Stay_at_home,Aboriginal,Foreign,Unemp,Marriage_Prob,Male_Ratio,Dist_Major_City,Imp_State,STATE,AUS_MORT_DTH
13,115.2295186,152.9421419,-26.70291047,318,271,805,767,339,318,206,177,412,456,651,797,781,834,731,725,482,461,223,206,82,114,4657,4880,372,248,70,60,6,4,0,0,76,64,3898,4017,876,919,4654,4785,161,182,4500,4625,1707,1983,4628,4840,188,219,1900,518,1307,1.1,1146,2.7,9878,2248,125,321,100,1110,2263,128,442,274,981,79,60,4739,4892,212,173,4656,4784,134,166,2855,3159,6,0,0,3,4,0,19,27,1520,1350,782,2831,1100,2746,3866,9471,1215,1500,664,166,146,2550,2350,99,376,91,567,43,0.478647687,0.262010676,0.347265451,2.206313917,14.60288893,0.275678079,0.064917741,4.559804357,1.198755002,1.43530458,0.572225943,85.78729935,Imp,QLD,0.061894808
14,4.277669961,145.0627935,-37.76857068,216,192,519,510,290,285,296,215,342,330,437,526,604,666,554,548,300,263,178,222,73,125,3627,3719,182,162,3,0,0,0,0,0,3,0,2892,2993,787,773,2973,3024,717,748,3443,3564,2195,2217,3606,3696,114,116,2300,823,2570,1.1,2120,2.8,7530,1773,42,132,78,1047,1798,55,177,241,909,0,0,3683,3769,125,112,2973,3024,41,41,2339,2564,37,43,26,22,11,7,20,15,1046,927,649,2261,814,2220,2908,7302,1235,830,544,85,64,2211,1954,364,874,276,908,51,0.401015228,0.314156796,0.343855693,2.186020293,12.13861489,0.193912063,0.001691094,4.474069899,1.282412627,1.456595265,0.56432621,10.10458973,NotImp,VIC,0.010814495
15,8.840058286,144.8822217,-37.83762808,712,697,880,829,396,406,501,441,1294,1337,1536,1586,1170,1159,719,762,400,411,265,345,120,191,7639,7849,356,315,31,25,3,0,3,0,37,25,5613,5786,1916,1957,5954,6119,1626,1675,6765,7042,3612,4009,7415,7644,402,367,2162,761,2078,1.1,1626,2.5,15830,2987,182,480,153,2600,3002,178,602,503,2353,35,24,7513,7756,446,385,5953,6119,116,146,4139,4671,116,74,298,245,13,18,62,49,2483,2285,980,4896,1279,4871,6808,15058,1826,2386,1801,216,160,4625,4197,363,1175,376,1462,99,0.527954469,0.580850352,0.316934404,2.6854083,20.47542165,0.224564926,0.022757697,5.472222222,1.601405622,2.239290495,0.599104719,7.584601223,NotImp,VIC,0.28368709
16,1028.722412,145.2127822,-36.42306814,323,289,696,696,347,323,235,211,503,473,718,657,753,731,699,620,454,404,219,247,70,124,4725,4542,291,235,107,113,6,0,3,0,116,113,4227,4050,547,489,4194,4188,418,418,4394,4380,1024,1305,4457,4449,381,186,1300,489,1153,1.1,967,2.6,9474,2114,134,302,115,1333,2056,135,267,364,969,114,114,4702,4467,201,194,4192,4188,35,29,3152,3239,11,6,63,56,0,0,34,30,1082,1006,836,2642,1016,2508,3951,8904,1316,1268,727,111,117,2540,2061,40,210,49,358,87,0.465941343,0.337748344,0.36643026,2.370685579,14.45838024,0.248699764,0.112529551,4.489361702,1.256264775,1.58392435,0.535494,156.2502365,NotImp,VIC,0.041446193
17,7.198052769,138.5894161,-34.95578519,494,477,873,935,436,507,643,763,1318,1262,1184,1220,1150,1240,1074,1152,555,627,338,437,155,361,7779,8614,442,366,25,39,3,0,0,0,28,39,5922,6555,1893,2027,6416,7028,1413,1570,6985,7709,4470,4729,7581,8322,453,549,1950,728,2042,1.1,1434,2.3,16903,3311,146,468,157,2771,3326,184,719,646,2690,26,40,7829,8668,368,269,6416,7030,105,160,4225,5060,134,112,117,94,11,10,77,78,2715,2652,1386,4995,1838,5175,7666,15904,2295,2226,2187,226,210,4874,4641,669,1651,535,1810,176,0.407731803,0.628511024,0.430253623,2.497584541,23.71956337,0.243961353,0.021135266,5.132246377,1.535024155,2.249698068,0.632999718,3.172610271,Imp,SA,0.623162186
18,5.559037056,151.0201327,-33.90220766,732,672,1440,1356,722,627,666,674,1150,1303,1192,1250,1291,1296,1045,974,563,570,412,538,182,297,9174,9310,221,246,62,78,8,5,0,3,70,86,4874,4907,3819,4040,2933,2950,5835,6096,8005,8197,3354,3436,8729,9022,625,483,1993,389,1125,1.3,996,3.1,18859,3760,252,472,185,2558,3771,329,630,764,2033,72,86,8654,8931,671,537,2933,2950,983,1079,4805,5125,52,63,1982,1964,0,3,58,56,723,613,603,5797,747,6028,6009,17751,2039,1847,1609,366,261,4186,3186,165,646,104,728,120,0.561702128,0.485106383,0.373570859,2.597181601,24.73356609,0.124169104,0.043605424,5.603296995,1.182398298,1.766019676,0.572686961,17.67552359,NotImp,NSW,0.659912102
19,1233.318065,153.2698568,-28.75091154,401,405,1183,1076,516,505,248,225,470,559,990,1066,1357,1404,1370,1257,613,511,260,228,54,71,6989,6932,472,375,178,180,0,6,10,3,188,189,6190,6126,851,851,6821,6712,290,320,6791,6729,2308,2592,6901,6920,377,281,1500,493,1194,1.1,988,2.6,14479,2925,221,563,101,2070,2937,202,678,301,1703,191,190,6896,6835,376,283,6821,6712,133,238,3944,4088,14,11,4,6,12,8,110,135,2367,2085,1389,4072,1774,3691,6003,13821,2318,1940,974,285,190,3792,3506,179,664,156,965,65,0.542905983,0.237606838,0.276828435,2.495898838,18.96028208,0.289473684,0.132262474,5.052289815,1.360902256,1.850991114,0.538031073,82.99057894,NotImp,NSW,-0.003752304
20,17.27880013,151.6380205,-32.87546121,442,399,1000,907,481,442,339,325,668,743,887,1008,788,807,580,568,276,297,103,112,19,21,5351,5438,231,193,181,196,11,7,9,7,201,210,4835,4903,582,583,5017,5084,438,438,5204,5259,1461,1650,5373,5466,81,70,1863,624,1715,1.1,1596,3,10991,2365,94,236,60,1386,2390,145,385,172,1231,202,210,5224,5291,157,128,5017,5086,48,45,3959,4320,33,46,70,49,0,0,22,21,1128,875,466,3462,628,3507,3786,10838,947,2010,615,127,116,3113,2826,91,318,91,447,22,0.59154334,0.41987315,0.181741336,2.313186813,15.49417369,0.17920541,0.18216399,4.75147929,1.364750634,1.466610313,0.572926209,117.3451887,NotImp,NSW,-0.273404259
21,23462.54427,116.0335773,-29.51757098,142,147,314,299,122,90,120,80,319,247,352,284,425,293,381,274,214,161,102,95,16,26,2288,1862,219,132,128,125,3,0,0,0,131,125,1987,1624,322,260,2243,1833,89,65,2147,1735,699,634,1893,1765,1048,291,729,637,1242,1.1,995,2.4,4998,988,79,213,44,728,841,46,127,109,424,131,125,2198,1778,178,93,2241,1834,13,16,1477,1307,3,0,3,0,0,0,5,8,688,491,558,1298,572,857,2295,3658,686,315,492,48,47,1467,883,9,84,12,161,20,0.46659919,0.403846154,0.285136502,2.432760364,8.442021705,0.354903943,0.261880688,4.76744186,1.530839232,1.663296259,0.460438293,271.398609,NotImp,WA,-0.306659983
22,6.627041085,145.1990075,-37.81817723,562,519,930,807,385,372,393,415,1083,1136,1212,1301,948,987,741,830,514,650,347,406,105,169,6887,7294,334,296,16,15,0,0,0,0,16,15,4971,5195,1968,2122,5405,5622,1602,1750,6162,6450,3454,3773,6824,7224,209,259,1885,651,1757,1.1,1424,2.5,14515,3175,124,363,148,1922,3215,160,590,480,1818,21,12,6964,7350,235,229,5404,5621,260,326,3691,4315,134,131,73,74,9,13,112,76,2318,2091,1138,4267,1459,4481,6097,14051,2019,2116,1361,186,167,4060,3772,374,1138,306,1381,80,0.456377953,0.471811024,0.38570529,2.310768262,21.71697369,0.19836272,0.009760705,4.861146096,1.330919395,1.675377834,0.609163123,20.71172085,NotImp,VIC,0.268975969
23,8.306345834,145.2259751,-37.85232341,375,368,724,698,483,437,537,488,876,845,838,884,892,1053,1115,1164,521,508,235,339,127,260,6482,6821,242,222,23,13,0,0,0,0,23,13,4447,4555,2079,2326,4805,4981,1765,1944,5902,6167,3082,3243,6436,6701,356,447,1800,604,1697,1.1,1470,2.8,13940,3162,123,295,126,1921,3170,159,493,545,1611,21,13,6548,6900,154,131,4806,4980,337,400,3771,4394,182,182,86,70,10,9,63,68,1823,1512,870,4457,1087,4622,5097,13136,1943,1841,810,177,140,4035,3581,225,863,175,1020,90,0.345351044,0.431372549,0.349984192,2.163768574,21.62406506,0.146696175,0.0113816,4.73506165,1.319949415,1.577932343,0.589209536,23.45842958,NotImp,VIC,0.382038174
24,16.30614688,151.9126656,-27.59133283,380,378,624,561,426,362,374,359,692,660,542,573,514,586,470,541,369,475,316,514,128,258,4542,5045,293,222,210,219,6,9,3,3,219,231,3939,4299,440,508,4164,4616,269,254,4168,4624,1343,1447,4272,4782,494,467,1408,491,1116,1.1,855,2.3,10018,1776,125,299,134,1498,1787,148,439,681,1270,218,233,4222,4682,395,351,4163,4616,20,30,3375,4026,20,13,36,40,3,3,11,12,791,642,631,2724,855,2958,4226,9056,1168,1065,1412,139,114,2319,1983,66,252,50,401,89,0.564189189,0.591779279,0.701744513,2.80585256,11.61447283,0.289814294,0.258300506,5.117613956,1.369161508,2.431626337,0.634119913,110.3404823,Imp,QLD,0.397901767
25,7347.207709,141.8278628,-13.605708,64,67,129,131,57,53,60,73,102,96,103,111,58,61,43,27,14,26,3,9,7,0,623,633,18,21,574,590,6,0,12,12,592,602,639,654,0,0,45,54,588,595,639,654,48,65,624,629,21,22,0,259,633,1.7,1153,5,1296,43,11,5,13,375,45,0,9,18,383,589,603,48,51,3,0,44,55,0,0,329,348,0,0,0,0,0,0,50,42,118,108,78,326,81,326,257,1252,0,0,218,41,27,180,122,0,10,3,19,6,4.558139535,4.069767442,0.795454545,14.38636364,0.301061706,0.886363636,27.54545455,29.06818182,4.704545455,18.25,0.595628415,1930.289075,Imp,QLD,-0.435554604
26,8.906174252,151.070347,-34.01032545,798,779,1475,1367,612,685,592,541,1019,1081,1591,1723,1442,1498,1282,1321,807,799,384,483,146,207,9775,10164,371,321,62,60,4,3,3,3,69,66,8015,8320,1758,1814,8902,9081,926,1119,9321,9653,4426,4590,9656,10027,277,311,2600,735,2248,1.1,1961,2.9,20270,4803,164,406,174,2327,4824,203,580,628,2099,70,65,9728,10096,347,325,8902,9082,88,128,7186,7850,52,50,40,46,15,27,27,39,2087,1794,1381,6059,1753,6163,7267,19685,2798,3060,938,213,179,5723,5193,430,1307,348,1518,109,0.469290027,0.324797002,0.309950042,2.145087427,31.58406682,0.144046628,0.029558701,4.403830142,1.228559534,1.293505412,0.579002596,20.27720539,NotImp,NSW,0.489569187
27,1.805695049,149.1286413,-35.30334875,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,2.373898131,Imp,ACT,-0.460896399
28,9.718226998,147.1048373,-41.44245572,159,138,281,285,168,165,165,144,269,313,334,357,324,356,291,301,162,183,80,111,18,35,2110,2274,139,116,19,19,0,0,0,0,19,19,1883,1999,303,326,2128,2262,71,81,2098,2215,912,1032,2148,2292,43,49,1473,627,1537,1.1,1215,2.5,4530,958,51,122,26,655,967,65,221,118,593,19,18,2183,2319,49,51,2128,2262,22,21,1227,1459,5,3,6,3,3,3,9,10,813,729,407,1336,467,1411,2003,4441,648,680,452,70,51,1315,1265,86,293,73,406,22,0.43736952,0.431106472,0.343065693,2.302398332,6.468391023,0.265901981,0.039624609,4.831074035,1.424400417,1.809176225,0.60701576,443.1449948,NotImp,TAS,-0.300208829
29,4.319144767,145.0176088,-37.84161711,221,200,519,481,294,389,460,538,1006,1062,683,733,733,884,864,979,695,764,397,486,184,299,5663,6443,395,371,6,9,0,0,0,0,6,9,3885,4381,1683,1980,4565,5180,1030,1217,4964,5618,4060,4441,5420,6172,478,545,2700,1031,2746,1.1,1976,2.2,12612,2655,84,349,121,2108,2717,110,547,566,2193,4,11,5561,6366,491,437,4565,5181,139,216,2808,3535,164,109,54,47,682,731,26,35,1442,1447,1014,3796,1456,4141,6436,11592,2280,1102,1914,127,152,3617,3178,612,1769,436,1804,92,0.270809793,0.581544256,0.583207831,2.350903614,18.18273852,0.288403614,0.00564759,4.791415663,1.419051205,2.215361446,0.649480606,5.667933459,NotImp,VIC,0.65378661
30,22.93838988,150.806519,-34.02455203,828,856,1817,1637,929,906,880,898,1402,1532,1224,1405,1473,1733,1139,1108,418,403,146,193,38,48,9962,10435,330,285,298,341,9,18,4,6,311,365,7305,7443,2316,2507,7632,7767,2053,2277,8831,9150,2840,3252,9645,10074,660,599,1863,586,1504,1.1,1420,3.2,20977,3651,247,475,92,3188,3685,350,781,379,3033,312,366,9354,9671,626,683,7632,7767,207,237,7195,7755,138,151,484,430,0,7,35,58,1376,1172,763,6140,1036,6435,6409,19719,1339,2937,1748,365,351,5522,4777,106,411,94,623,55,0.732128184,0.629964393,0.176341731,2.778203724,24.05035056,0.168400876,0.188663746,5.817907996,1.608159912,2.176341731,0.594608088,40.86121373,NotImp,NSW,-0.121889164
